2,250,271
0,252,251
0,248,146
0,245,89
0,176,180
0,104,193
0,33,182
0,3,179
0,312,181
0,393,205
0,458,210
0,493,210
0,218,303
0,220,424
0,221,543
0,214,576
0,282,302
0,286,426
0,290,539
0,287,572
3,247,271
0,249,252
0,244,147
0,240,88
0,173,181
0,102,194
0,31,185
0,0,182
0,310,181
0,391,203
0,457,205
0,491,205
0,215,304
0,218,424
0,220,544
0,213,578
0,280,303
0,283,424
0,286,540
0,283,573
4,247,271
0,249,252
0,244,146
0,241,87
0,173,181
0,104,195
0,32,186
0,2,182
0,309,181
0,390,203
0,457,205
0,491,205
0,215,304
0,218,424
0,220,544
0,214,577
0,280,303
0,283,424
0,286,540
0,283,573
5,247,271
0,249,251
0,244,146
0,241,87
0,173,181
0,103,195
0,32,186
0,2,183
0,309,181
0,390,203
0,457,206
0,491,205
0,215,304
0,218,424
0,220,544
0,214,577
0,280,302
0,283,424
0,286,540
0,283,573
6,250,275
0,251,252
0,247,137
0,241,72
0,167,176
0,94,192
0,14,180
0,-20,180
0,318,176
0,416,200
0,491,203
0,530,205
0,215,311
0,230,436
0,247,583
0,240,623
0,286,309
0,285,436
0,284,580
0,279,620
7,237,282
0,241,255
0,236,112
0,219,40
0,129,149
0,48,203
0,-30,258
0,-59,279
0,326,164
0,449,195
0,557,194
0,589,193
0,188,333
0,220,520
0,252,709
0,237,778
0,287,329
0,354,500
0,418,665
0,418,727
8,239,298
0,240,265
0,228,105
0,220,20
0,136,182
0,45,173
0,109,82
0,132,52
0,327,166
0,447,167
0,567,182
0,618,175
0,190,347
0,128,557
0,63,774
0,32,862
0,292,340
0,443,485
0,588,625
0,612,693
9,290,258
0,276,231
0,197,97
0,238,21
0,105,163
0,6,169
0,125,109
0,171,86
0,310,141
0,427,130
0,546,161
0,612,185
0,255,314
0,372,499
0,505,713
0,524,802
0,380,284
0,257,468
0,136,650
0,114,726
10,364,139
0,373,135
0,417,154
0,498,118
0,319,222
0,464,215
0,309,151
0,142,40
0,534,200
0,655,189
0,782,221
0,824,232
0,236,126
0,333,268
0,248,506
0,259,533
0,414,128
0,310,349
0,254,181
0,274,253
11,310,173
0,308,161
0,286,104
0,372,89
0,194,169
0,349,188
0,197,113
0,166,49
0,331,165
0,450,154
0,546,224
0,599,187
0,240,196
