Frame,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Categories,
,Hip Center,,,Spine,,,Shoulder Center,,,Head,,,Shoulder Left,,,Elbow Left,,,Wrist Left,,,Hand Left,,,Shoulder Right,,,Elbow Right,,,Wrist Right,,,Hand Right,,,Hip Left,,,Knee Left,,,Ankle Left,,,Foot Left,,,Hip Right,,,Knee Right,,,Ankle Right,,,Foot Right,,,Position,Depth
10,0.25794,-0.26713,1.02,0.27409,-0.22022,1.0819,0.30085,0.11428,1.1429,0.29515,0.29554,1.1565,0.14356,-0.0061534,1.1064,0.090074,-0.24191,1.0676,0.08507,-0.43385,0.9859,0.039519,-0.46208,0.97,0.4131,-0.021833,1.0453,0.47569,-0.22783,0.98345,0.4895,-0.42171,0.90869,0.4941,-0.48634,0.88806,0.18326,-0.32498,1.0153,-0.1468,-0.51019,1.0875,-0.39778,-0.65103,1.1269,-0.45581,-0.64729,1.0645,0.31942,-0.32642,0.98306,0.70138,-0.38428,0.93512,0.99182,-0.42828,0.88321,1.0229,-0.40776,0.80644,In,Near
11,0.24914,-0.24154,0.98428,0.25654,-0.19166,1.042,0.2506,0.13377,1.0757,0.25164,0.30442,1.0885,0.1195,-0.0035934,1.0102,0.033239,-0.18503,1.0006,0.037941,-0.36671,0.90099,-7.36E-05,-0.40672,0.89876,0.36772,-0.010272,0.97007,0.43736,-0.23061,0.90322,0.49709,-0.41963,0.85454,0.50834,-0.45521,0.84776,0.16943,-0.30165,0.98706,-0.18458,-0.42037,0.89246,-0.45469,-0.51096,0.80508,-0.4919,-0.50073,0.73009,0.3279,-0.29236,0.95077,0.59285,-0.019827,0.97875,0.79502,0.18813,0.9849,0.81049,0.23553,0.91688,In,Near
12,-0.11822,-0.37834,1.692,-0.12766,-0.33049,1.7535,-0.13224,0.0047577,1.8182,-0.11894,0.18879,1.8412,-0.27487,-0.10172,1.7425,-0.34397,-0.34232,1.6786,-0.32867,-0.52795,1.588,-0.32533,-0.59792,1.5622,0.027163,-0.11646,1.7874,0.082261,-0.37173,1.7423,0.083657,-0.55593,1.6469,0.086906,-0.62409,1.6167,-0.18137,-0.43944,1.657,-0.23673,-0.80311,1.5912,-0.28016,-1.0884,1.5248,-0.2755,-1.1115,1.4435,-0.051155,-0.4474,1.6802,0.14871,-0.75745,1.6223,0.30551,-1.0007,1.562,0.34021,-1.0096,1.4852,In,Near
13,-0.17365,-0.37637,1.6654,-0.18051,-0.32872,1.7268,-0.19859,0.0030315,1.7862,-0.19162,0.1885,1.8182,-0.346,-0.11112,1.7213,-0.40636,-0.3507,1.6735,-0.39977,-0.54079,1.5912,-0.40107,-0.61287,1.5696,-0.0413,-0.11236,1.7399,0.026963,-0.3671,1.6904,0.038062,-0.5548,1.5969,0.043595,-0.61395,1.5718,-0.23522,-0.44235,1.6369,-0.44785,-0.74941,1.6204,-0.61453,-0.9901,1.5926,-0.64289,-1.0107,1.5152,-0.10374,-0.44016,1.6478,0.12176,-0.73229,1.5776,0.29852,-0.96128,1.5076,0.32849,-0.9683,1.4284,In,Near
14,-0.26547,-0.34367,1.4666,-0.25887,-0.29798,1.5318,-0.27626,0.038668,1.6189,-0.30014,0.21302,1.6489,-0.42606,-0.096202,1.5624,-0.49109,-0.32651,1.5629,-0.50616,-0.52139,1.4973,-0.5131,-0.57323,1.4787,-0.1431,-0.069235,1.518,-0.064224,-0.30567,1.4064,-0.08057,-0.47109,1.2781,-0.082323,-0.51921,1.2504,-0.32684,-0.41212,1.454,-0.52743,-0.72774,1.4572,-0.68432,-0.97461,1.4448,-0.72844,-0.99002,1.3738,-0.20042,-0.39503,1.428,0.12056,-0.52996,1.278,0.37163,-0.63549,1.1458,0.38924,-0.61949,1.0642,In,Near
15,-0.39532,-0.30722,1.2402,-0.40938,-0.26363,1.3047,-0.44798,0.067609,1.3877,-0.44865,0.24409,1.4063,-0.57514,-0.075368,1.2843,-0.56797,-0.29457,1.1693,-0.54495,-0.49422,1.1425,-0.54771,-0.54714,1.1273,-0.30218,-0.044334,1.3319,-0.23701,-0.29443,1.2489,-0.20329,-0.47138,1.1461,-0.19332,-0.51938,1.1209,-0.4528,-0.37262,1.2062,-0.81209,-0.42658,1.266,-1.0946,-0.46901,1.2982,-1.1463,-0.44495,1.2357,-0.32166,-0.3559,1.2252,-0.015652,-0.56469,1.2111,0.22498,-0.72887,1.1853,0.27073,-0.7227,1.1144,In,Near
16,-0.40278,-0.29305,1.0653,-0.43905,-0.23845,1.1165,-0.51873,0.11346,1.139,-0.51697,0.27632,1.1324,-0.54789,-0.015912,1.0255,-0.45115,-0.24637,0.9442,-0.42161,-0.44313,0.94742,-0.42435,-0.49563,0.93231,-0.43899,-0.028255,1.071,-0.37941,-0.22893,1.0455,-0.32447,-0.41315,0.97938,-0.30924,-0.46026,0.95612,-0.42665,-0.32627,1.0764,-0.58075,-0.069625,0.85378,-0.70285,0.13374,0.66276,-0.68485,0.17015,0.5896,-0.36232,-0.31371,1.0421,-0.23843,-0.65289,0.9716,-0.14026,-0.92165,0.90111,-0.097833,-0.93425,0.8301,In,Near
17,-0.42222,-0.29279,0.99418,-0.43619,-0.25308,1.0234,-0.40337,-0.070368,0.97598,-0.44291,0.078444,1.0281,-0.43253,-0.19974,0.86253,-0.36749,-0.37072,0.91129,-0.42392,-0.52628,0.79187,-0.42664,-0.57839,0.77688,-0.31745,-0.23041,0.91849,-0.48188,-0.38671,0.84641,-0.62164,-0.51957,0.79346,-0.64539,-0.54215,0.78658,-0.48325,-0.30539,0.93701,-0.55654,-0.011857,0.72476,-0.61479,0.22143,0.54152,-0.59036,0.23801,0.46427,-0.36681,-0.35401,1.0554,-0.17793,-0.3964,0.73642,-0.027822,-0.43009,0.46833,0.0088829,-0.43596,0.39445,In,Near
18,-0.39757,-0.2088,0.93236,-0.42578,-0.16358,0.96769,-0.47299,0.11911,0.99765,-0.38883,0.0067835,0.97238,-0.50215,-0.010259,0.8842,-0.36351,-0.20726,0.86518,-0.2824,-0.37864,0.83388,-0.28505,-0.4295,0.81925,-0.38707,-0.040929,0.94016,-0.37337,-0.25039,0.8612,-0.41464,-0.067964,0.88531,-0.42518,0.0029468,0.88589,-0.43263,-0.25551,0.99486,-0.53411,-0.12812,0.66491,-0.61496,-0.02662,0.38763,-0.5889,0.00026619,0.31662,-0.34166,-0.25203,0.84775,-0.31605,-0.058567,1.0677,-0.30031,-0.29168,0.98151,-0.36009,-0.26108,0.91816,In,Near
19,-0.38874,-0.21944,1.0464,-0.37182,-0.16874,1.0876,-0.45653,0.10393,1.1409,-0.43068,-0.0082084,1.0472,-0.56048,0.09952,1.1873,-0.49044,-0.10787,1.032,-0.352,-0.29794,0.92042,-0.31142,-0.32462,0.89967,-0.51327,0.073851,1.1346,-0.36981,-0.11895,1.0245,-0.48958,-0.20444,0.89418,-0.52951,-0.23294,0.85483,-0.39134,-0.25638,1.058,-0.54084,-0.24613,0.72392,-0.66003,-0.23796,0.44327,-0.71343,-0.23272,0.38436,-0.37487,-0.23509,1.0161,-0.33089,0.062232,1.0308,-0.24841,-0.16356,0.99755,-0.26135,-0.24253,0.9529,In,Near
