Frame,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Categories,
,Hip Center,,,Spine,,,Shoulder Center,,,Head,,,Shoulder Left,,,Elbow Left,,,Wrist Left,,,Hand Left,,,Shoulder Right,,,Elbow Right,,,Wrist Right,,,Hand Right,,,Hip Left,,,Knee Left,,,Ankle Left,,,Foot Left,,,Hip Right,,,Knee Right,,,Ankle Right,,,Foot Right,,,Position,Depth
10,0.25179,-0.70023,3.6397,0.264,-0.65352,3.6987,0.27123,-0.33199,3.7474,0.27226,-0.14401,3.7774,0.10606,-0.43185,3.7597,0.053674,-0.65636,3.7387,0.027026,-0.8978,3.6108,0.041422,-0.9853,3.5751,0.4311,-0.43484,3.6899,0.52042,-0.68456,3.6202,0.5596,-0.88625,3.5189,0.57125,-0.97262,3.5067,0.17612,-0.77685,3.6403,0.1553,-1.0951,3.5301,0.14013,-1.3636,3.4821,0.19289,-1.4254,3.4898,0.32037,-0.76996,3.5919,0.32218,-1.1088,3.5529,0.34617,-1.3804,3.5257,0.33394,-1.4195,3.4388,In,Far
11,0.28439,-0.71978,3.7985,0.28258,-0.6767,3.8613,0.28144,-0.3589,3.9291,0.26618,-0.17666,3.9475,0.15828,-0.45661,3.8868,0.085386,-0.74081,3.8276,0.050745,-0.94972,3.724,0.049446,-1.0355,3.7166,0.46547,-0.46314,3.8907,0.52113,-0.75263,3.7984,0.57357,-0.96996,3.695,0.58486,-1.0398,3.6999,0.21943,-0.78679,3.7853,0.23064,-1.1505,3.7153,0.22784,-1.4516,3.6966,0.22897,-1.494,3.6103,0.35962,-0.77984,3.7689,0.36811,-1.1395,3.6964,0.42182,-1.4557,3.6819,0.43664,-1.4972,3.5965,In,Far
12,0.35848,-0.73927,3.8872,0.37256,-0.69528,3.9494,0.41752,-0.36165,4.0288,0.3489,-0.21287,4.0261,0.2756,-0.44807,4.0012,0.29276,-0.71606,3.9077,0.089618,-0.77496,3.966,0.11075,-0.84004,3.9835,0.58707,-0.47484,3.9358,0.62658,-0.75863,3.8161,0.65727,-0.95279,3.698,0.65727,-1.0226,3.6875,0.27894,-0.81646,3.9041,0.27566,-1.1548,3.7487,0.2785,-1.4557,3.7095,0.26454,-1.4909,3.6212,0.42799,-0.81913,3.8147,0.43056,-1.1631,3.7709,0.44425,-1.464,3.7253,0.43285,-1.4974,3.6359,In,Far
13,0.37088,-0.79075,3.9129,0.3793,-0.74072,3.9738,0.37036,-0.39693,4.0363,0.36799,-0.20462,4.0816,0.21397,-0.50626,4.0073,0.21067,-0.7931,3.8897,0.15105,-1.0057,3.8473,0.17214,-1.0707,3.8648,0.53991,-0.51013,3.9432,0.6195,-0.77759,3.8663,0.61407,-0.97531,3.751,0.61236,-1.0378,3.7185,0.29431,-0.85816,3.8831,0.30936,-1.2071,3.853,0.32585,-1.5213,3.8523,0.31303,-1.5695,3.7702,0.44973,-0.8608,3.8959,0.40036,-1.2142,3.8168,0.41333,-1.4831,3.769,0.45903,-1.508,3.7062,In,Far
14,0.37022,-0.77393,3.9181,0.37981,-0.72985,3.9784,0.38117,-0.41053,4.0357,0.36043,-0.19333,4.09,0.22888,-0.47948,4.0172,0.22554,-0.76567,3.8992,0.18463,-0.98467,3.8395,0.17389,-1.0539,3.8467,0.55072,-0.52373,3.9427,0.61492,-0.76879,3.8753,0.63995,-0.96427,3.7594,0.65052,-1.0252,3.7257,0.29476,-0.85023,3.9318,0.3214,-1.2173,3.853,0.33894,-1.5198,3.853,0.31045,-1.5943,3.8357,0.44042,-0.85668,3.8473,0.41878,-1.217,3.8217,0.46345,-1.471,3.7389,0.45733,-1.4911,3.6453,In,Far
15,0.38332,-0.7729,3.9167,0.39264,-0.72428,3.9773,0.37777,-0.39019,4.0372,0.36388,-0.21261,4.0905,0.21081,-0.49209,4.0186,0.20748,-0.77826,3.9006,0.13967,-0.98726,3.8531,0.14936,-1.0515,3.826,0.54732,-0.50339,3.9442,0.6107,-0.77098,3.8801,0.63862,-0.96852,3.769,0.65672,-1.0588,3.7444,0.30715,-0.84123,3.8668,0.32339,-1.2216,3.8535,0.33771,-1.5224,3.855,0.29656,-1.5922,3.8452,0.46154,-0.84581,3.918,0.42059,-1.2212,3.8257,0.41107,-1.4996,3.7967,0.46506,-1.5167,3.738,In,Far
16,0.38086,-0.80442,3.9197,0.39204,-0.7572,3.9802,0.40996,-0.44242,4.0334,0.35677,-0.28376,4.0935,0.26277,-0.52771,4.0141,0.18741,-0.8048,3.9458,0.19671,-1.0143,3.8323,0.20639,-1.0785,3.8052,0.57951,-0.55562,3.9404,0.6243,-0.77476,3.8911,0.65125,-0.9756,3.7879,0.65489,-1.0338,3.7692,0.29944,-0.87074,3.9,0.31829,-1.2226,3.8494,0.33827,-1.526,3.85,0.303,-1.5994,3.8452,0.45741,-0.87794,3.8952,0.42532,-1.2126,3.8078,0.46119,-1.4692,3.7317,0.45202,-1.4915,3.6388,In,Far
17,0.39695,-0.97194,3.9822,0.403,-0.91493,4.0312,0.41581,-0.61675,4.0186,0.44801,-0.45268,4.0795,0.35242,-0.63533,3.9567,0.29912,-0.91027,3.8747,0.12322,-1.0028,3.7651,0.064589,-1.0337,3.7327,0.58536,-0.72994,3.9256,0.63193,-1.0049,3.8521,0.45004,-0.77235,3.8883,0.38941,-0.69484,3.9046,0.32549,-1.008,3.9868,0.31361,-1.2859,3.9072,0.33854,-1.6324,3.8786,0.33723,-1.6768,3.7926,0.45925,-1.0532,3.9701,0.50829,-1.3144,3.8516,0.54275,-1.5275,3.8838,0.54775,-1.589,3.8107,In,Far
18,0.52569,-0.85716,3.9547,0.55676,-0.82393,4.0017,0.71341,-0.58393,4.0371,0.71675,-0.42195,4.1217,0.65001,-0.60251,3.9753,0.59672,-0.87745,3.8933,0.30991,-0.93589,3.9327,0.30119,-1.0145,3.8806,0.88296,-0.69713,3.9441,0.74253,-0.85064,3.99,0.56065,-0.80673,3.8617,0.50002,-0.79209,3.8231,0.43218,-0.88442,3.9897,0.38273,-1.2305,3.8107,0.38841,-1.4825,3.7501,0.37602,-1.5421,3.6976,0.54043,-0.9447,3.8799,0.54477,-1.3048,3.9188,0.56207,-1.5541,3.9419,0.54926,-1.6303,3.9194,In,Far
19,0.5313,-0.76802,3.9375,0.53866,-0.71915,3.9906,0.53466,-0.39844,4.0355,0.51675,-0.21582,4.0644,0.34269,-0.48751,4.015,0.28685,-0.75182,3.9814,0.2712,-0.93395,3.8471,0.27336,-1.0187,3.805,0.70421,-0.51164,3.9424,0.76932,-0.77968,3.9205,0.79184,-0.95473,3.7772,0.77011,-1.0204,3.7126,0.45702,-0.87214,3.9667,0.43362,-1.1946,3.8201,0.40979,-1.4583,3.7613,0.39035,-1.484,3.6724,0.60787,-0.8511,3.8672,0.63133,-1.2138,3.8227,0.66826,-1.5188,3.8463,0.6623,-1.5753,3.7707,In,Far
