Frame,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Categories,
,Hip Center,,,Spine,,,Shoulder Center,,,Head,,,Shoulder Left,,,Elbow Left,,,Wrist Left,,,Hand Left,,,Shoulder Right,,,Elbow Right,,,Wrist Right,,,Hand Right,,,Hip Left,,,Knee Left,,,Ankle Left,,,Foot Left,,,Hip Right,,,Knee Right,,,Ankle Right,,,Foot Right,,,Position,Depth
10,0.00072444,0.097382,0.72296,0.0164,0.070513,0.76754,0.060852,0.18306,0.90705,0.048313,0.32704,0.93758,-0.094694,0.13004,0.92961,-0.30347,0.12437,0.97197,-0.52178,0.14229,0.95276,-0.58616,0.14715,0.95206,0.20496,0.16017,0.91467,0.43876,0.10935,0.89811,0.65281,0.062822,0.89273,0.71587,0.049116,0.89475,-0.047781,0.056862,0.6533,-0.29534,0.16437,0.98888,-0.55334,-0.030828,0.95065,-0.63183,0.0054113,0.9147,0.0065436,0.075493,0.66259,-0.39793,0.2451,0.87896,-0.62501,0.34032,0.98324,-0.64786,0.42039,0.96144,Out,Far
11,-0.077023,-0.22216,1.2386,-0.072714,-0.17306,1.2924,-0.080189,0.1371,1.3164,-0.082801,0.30106,1.313,-0.25135,0.03602,1.3337,-0.45228,0.0042057,1.3646,-0.64658,0.007519,1.33,-0.71135,0.0086234,1.3225,0.093189,0.032801,1.2943,0.34033,0.013513,1.3002,0.53475,0.014278,1.2664,0.59191,0.0093238,1.2452,-0.15388,-0.2969,1.2261,-0.34258,-0.70205,1.2425,-0.49216,-1.0232,1.2412,-0.52777,-1.0557,1.1553,0.0011635,-0.29834,1.2134,0.23204,-0.67677,1.265,0.41505,-0.97673,1.2917,0.44601,-1.0213,1.2095,Out,Far
12,-0.11657,-0.22752,1.2675,-0.11038,-0.17974,1.3216,-0.12154,0.1284,1.3524,-0.12824,0.29605,1.3467,-0.28697,0.028945,1.3688,-0.49109,0.0018613,1.4178,-0.68917,0.0067,1.4052,-0.6894,0.0093087,1.3964,0.052354,0.025594,1.3136,0.30341,0.0054004,1.3064,0.49887,0.00057549,1.2622,0.57857,-0.010128,1.2387,-0.19186,-0.30046,1.2577,-0.39423,-0.69542,1.2885,-0.5493,-0.99805,1.2976,-0.59153,-1.029,1.2151,-0.039937,-0.30248,1.2383,0.07766,-0.7324,1.2154,0.16777,-1.0618,1.1835,0.17028,-1.0989,1.0931,Out,Far
13,-0.25653,-0.22337,1.2623,-0.24887,-0.17467,1.317,-0.25272,0.13987,1.3509,-0.25458,0.29825,1.3477,-0.4167,0.057258,1.3548,-0.61312,-0.023536,1.4997,-0.82055,-0.026864,1.472,-0.88072,-0.022109,1.4446,-0.090067,0.029461,1.2927,0.15232,0.011367,1.246,0.35621,-0.0042277,1.1957,0.4405,-0.020379,1.1696,-0.32848,-0.2915,1.2546,-0.5323,-0.68077,1.2393,-0.70253,-1.0059,1.2129,-0.7404,-1.0286,1.1292,-0.18511,-0.29182,1.2321,-0.010605,-0.69221,1.2682,0.13515,-1.0266,1.2849,0.15175,-1.0739,1.2046,Out,Far
14,-0.28131,-0.21726,1.2544,-0.27815,-0.16895,1.3097,-0.29524,0.1453,1.3461,-0.29256,0.30303,1.3482,-0.44619,0.047164,1.3365,-0.68699,-0.023976,1.4614,-0.60544,0.17332,1.4191,-0.57826,0.23908,1.409,-0.12783,0.039889,1.2958,0.11158,0.02116,1.2609,0.32553,0.015433,1.2227,0.41212,0.0061276,1.2061,-0.35147,-0.28918,1.2391,-0.50062,-0.69509,1.1745,-0.62006,-1.0201,1.1087,-0.64626,-1.0412,1.021,-0.20704,-0.28266,1.2287,-0.072864,-0.69428,1.1682,0.034579,-1.0239,1.1059,0.040951,-1.051,1.0161,Out,Far
15,-0.1246,-0.2207,1.2396,-0.12508,-0.17244,1.2948,-0.14652,0.1398,1.3287,-0.15206,0.30432,1.3374,-0.31148,0.025841,1.3243,-0.51551,-0.010856,1.3599,-0.72701,0.012966,1.3134,-0.79019,0.01635,1.2981,0.026027,0.032822,1.3012,0.28243,0.027934,1.3004,0.49701,0.025609,1.2676,0.53619,0.025544,1.2527,-0.19558,-0.29754,1.2189,-0.38378,-0.69133,1.2106,-0.53623,-1.0103,1.19,-0.56701,-1.0379,1.1052,-0.044746,-0.28988,1.2194,0.16008,-0.67418,1.2366,0.32599,-0.98549,1.2367,0.3516,-1.0215,1.1533,Out,Far
16,-0.028524,-0.21345,1.2523,-0.0326,-0.16548,1.3062,-0.035695,0.14128,1.3321,-0.016965,0.30356,1.3404,-0.2041,0.043849,1.3179,-0.41556,0.010961,1.3307,-0.62664,0.010508,1.2999,-0.62919,0.013708,1.2919,0.14288,0.022279,1.3352,0.37864,0.0020631,1.3545,0.58988,0.00013837,1.3256,0.63861,-0.0024097,1.3093,-0.1039,-0.28748,1.2234,-0.2729,-0.69088,1.2124,-0.41001,-1.0182,1.1896,-0.42781,-1.0517,1.1025,0.049415,-0.29165,1.2419,0.27187,-0.66698,1.2604,0.45236,-0.9715,1.2615,0.48869,-1.0005,1.1787,Out,Far
17,0.15004,-0.23153,1.3028,0.1457,-0.18201,1.3573,0.14996,0.1336,1.3867,0.15152,0.30281,1.3978,-0.015452,0.027996,1.3567,-0.26642,0.0021464,1.3627,-0.46951,-0.0050367,1.3101,-0.55616,-0.005657,1.2875,0.32621,0.021609,1.389,0.52882,-0.0038402,1.4175,0.73371,-0.0252,1.3831,0.79862,-0.026909,1.3702,0.074968,-0.30525,1.2735,-0.071394,-0.72099,1.3007,-0.1893,-1.0559,1.3086,-0.20449,-1.1009,1.2241,0.22539,-0.30748,1.293,0.42552,-0.70095,1.2501,0.58674,-1.0179,1.2016,0.61797,-1.0401,1.1126,Out,Far
18,0.24107,-0.23261,1.3185,0.24,-0.18438,1.3749,0.25024,0.13309,1.4149,0.24856,0.30049,1.4343,0.079906,0.026788,1.3909,-0.16785,-0.0035887,1.3876,-0.37132,-0.0054183,1.3523,-0.45995,-0.003102,1.3309,0.42104,0.019498,1.4081,0.62285,-0.0091786,1.4213,0.82853,0.011136,1.3691,0.89304,0.020461,1.3519,0.16391,-0.30512,1.2913,0.021295,-0.72399,1.3157,-0.094074,-1.0628,1.3215,-0.11294,-1.1064,1.2364,0.315,-0.30848,1.3018,0.45711,-0.72404,1.2245,0.57207,-1.0602,1.148,0.59288,-1.0817,1.0553,Out,Far
19,0.30774,-0.23258,1.3125,0.30883,-0.18337,1.3698,0.32891,0.14029,1.4137,0.32031,0.30706,1.4331,0.163,0.030073,1.3836,-0.081857,-0.0076782,1.3777,-0.28464,-0.015522,1.3503,-0.3743,-0.012417,1.334,0.49997,0.020787,1.4001,0.69728,-0.0050137,1.4187,0.90957,-0.032772,1.4524,0.97491,-0.041316,1.4665,0.2286,-0.30269,1.2883,0.097991,-0.72648,1.306,-0.0081349,-1.0708,1.3063,-0.024603,-1.1138,1.2203,0.37887,-0.30764,1.2928,0.62883,-0.67427,1.2552,0.83194,-0.97219,1.2106,0.86679,-0.99012,1.1213,Out,Far
