-0.41295,-0.4823,2.8981,-0.41879,-0.43575,2.9705,-0.42513,-0.075076,3.0684,-0.43641,0.11406,3.1127,-0.58694,-0.20333,2.9985,-0.62754,-0.43927,2.9229,-0.62682,-0.61502,2.7881,-0.63185,-0.68767,2.7377,-0.28196,-0.1996,3.0251,-0.229,-0.44981,2.9662,-0.21041,-0.63415,2.8465,-0.20739,-0.70667,2.7958,-0.47969,-0.54605,2.8616,-0.51264,-0.86448,2.7921,-0.53344,-1.1984,2.795,-0.53223,-1.2541,2.7165,-0.34245,-0.54438,2.8776,-0.35462,-0.8721,2.8105,-0.34518,-1.2005,2.7957,-0.3357,-1.2469,2.7119
-0.40696,-0.47631,2.8878,-0.41451,-0.43073,2.9593,-0.41813,-0.07635,3.0545,-0.43214,0.11485,3.0966,-0.57733,-0.20089,2.9774,-0.62115,-0.43853,2.8945,-0.61599,-0.61785,2.7628,-0.62345,-0.69246,2.7133,-0.28537,-0.19846,3.0128,-0.22838,-0.45296,2.9612,-0.21106,-0.63558,2.8359,-0.20984,-0.71088,2.7869,-0.47122,-0.53623,2.8489,-0.50789,-0.85933,2.7732,-0.52547,-1.1898,2.7722,-0.52023,-1.2431,2.6941,-0.33859,-0.53789,2.8711,-0.35058,-0.87063,2.8041,-0.35454,-1.1965,2.7861,-0.34556,-1.2413,2.7032
-0.40554,-0.476,2.8864,-0.41395,-0.43026,2.9575,-0.41839,-0.076285,3.0539,-0.42959,0.11477,3.0985,-0.57707,-0.20169,2.9748,-0.62059,-0.43777,2.8938,-0.61574,-0.6175,2.7619,-0.6204,-0.69194,2.7154,-0.28369,-0.19943,3.0132,-0.22737,-0.45164,2.9597,-0.2086,-0.63525,2.8354,-0.20741,-0.70845,2.7868,-0.46939,-0.53514,2.8463,-0.50736,-0.85984,2.7721,-0.5282,-1.1863,2.7692,-0.52316,-1.2385,2.6913,-0.33708,-0.5385,2.8704,-0.35118,-0.87278,2.8026,-0.35821,-1.1942,2.7858,-0.34931,-1.2393,2.7039
-0.40602,-0.47438,2.8862,-0.41436,-0.42905,2.9571,-0.41835,-0.074879,3.0541,-0.43002,0.11558,3.0959,-0.57762,-0.20053,2.9753,-0.62219,-0.43665,2.8953,-0.61514,-0.61506,2.7617,-0.62032,-0.68955,2.7159,-0.28259,-0.19972,3.0135,-0.22742,-0.44989,2.9588,-0.21146,-0.63489,2.8365,-0.20914,-0.7073,2.7873,-0.47023,-0.53387,2.8468,-0.50736,-0.85683,2.7712,-0.52806,-1.1848,2.768,-0.52288,-1.2371,2.6902,-0.33719,-0.53715,2.8695,-0.35147,-0.87251,2.8015,-0.35528,-1.193,2.7826,-0.34549,-1.237,2.7003
-0.40667,-0.47431,2.8856,-0.41479,-0.42912,2.9565,-0.41964,-0.075318,3.0526,-0.43167,0.11601,3.0943,-0.5785,-0.20119,2.9741,-0.62138,-0.4375,2.8934,-0.61566,-0.61572,2.7597,-0.61963,-0.68959,2.7131,-0.28225,-0.19955,3.013,-0.22722,-0.44928,2.9596,-0.20995,-0.63458,2.8384,-0.20821,-0.70645,2.7886,-0.47131,-0.5344,2.846,-0.50732,-0.85938,2.7707,-0.52917,-1.1858,2.7712,-0.52437,-1.2398,2.6944,-0.33767,-0.53728,2.8686,-0.35393,-0.87636,2.8022,-0.35214,-1.1941,2.7824,-0.3409,-1.2372,2.6997
-0.40775,-0.47363,2.8851,-0.41526,-0.42787,2.9558,-0.41953,-0.073903,3.0496,-0.43126,0.1185,3.095,-0.57953,-0.19906,2.9747,-0.62097,-0.438,2.8924,-0.61337,-0.61649,2.7591,-0.6174,-0.68947,2.7115,-0.28716,-0.19629,3.0116,-0.22881,-0.4499,2.9595,-0.21172,-0.63956,2.8352,-0.2089,-0.71158,2.786,-0.47188,-0.5337,2.8463,-0.5079,-0.85799,2.7707,-0.52866,-1.1851,2.7667,-0.52391,-1.2365,2.6883,-0.34015,-0.53619,2.8685,-0.35257,-0.87436,2.8019,-0.35372,-1.1927,2.7843,-0.34375,-1.2366,2.7019
-0.40139,-0.47348,2.8766,-0.41345,-0.42787,2.9464,-0.41656,-0.076143,3.0405,-0.43023,0.11657,3.0836,-0.56995,-0.19881,2.9508,-0.61764,-0.43606,2.8706,-0.61035,-0.61598,2.739,-0.61422,-0.6892,2.692,-0.28645,-0.19529,3.0107,-0.22747,-0.45024,2.9611,-0.20957,-0.63539,2.8391,-0.20804,-0.70761,2.7904,-0.4629,-0.53164,2.8327,-0.50261,-0.85678,2.7547,-0.52616,-1.1822,2.7512,-0.5154,-1.2344,2.674,-0.3346,-0.53667,2.8654,-0.34593,-0.86934,2.798,-0.35696,-1.1929,2.7782,-0.3426,-1.237,2.6967
-0.39978,-0.47369,2.8758,-0.41251,-0.42822,2.9456,-0.41666,-0.077046,3.0397,-0.42918,0.11828,3.0826,-0.56909,-0.20021,2.9485,-0.61658,-0.43622,2.8682,-0.61048,-0.61682,2.7374,-0.61283,-0.68994,2.6904,-0.28608,-0.19492,3.0121,-0.22781,-0.4492,2.9602,-0.20875,-0.63532,2.8399,-0.20755,-0.70662,2.7901,-0.4609,-0.53182,2.8306,-0.50279,-0.85667,2.7534,-0.5262,-1.1791,2.7496,-0.51466,-1.2314,2.6727,-0.33299,-0.5371,2.8657,-0.34868,-0.87025,2.7966,-0.35269,-1.1899,2.7781,-0.33578,-1.2339,2.6971
-0.39884,-0.47337,2.8751,-0.41159,-0.42782,2.9448,-0.41539,-0.076635,3.0382,-0.42917,0.11782,3.0815,-0.57027,-0.19949,2.9492,-0.61684,-0.43474,2.8674,-0.60877,-0.61532,2.7367,-0.61209,-0.68759,2.6885,-0.28378,-0.19753,3.0123,-0.22822,-0.45105,2.9594,-0.21225,-0.63572,2.836,-0.20886,-0.70795,2.7878,-0.46005,-0.53137,2.8304,-0.50247,-0.8558,2.7525,-0.52516,-1.1788,2.7492,-0.51328,-1.2311,2.6724,-0.3317,-0.53713,2.8648,-0.34904,-0.87165,2.7962,-0.35349,-1.1903,2.7788,-0.33661,-1.2346,2.6979
-0.40102,-0.4734,2.873,-0.41341,-0.4272,2.9426,-0.41756,-0.074711,3.0348,-0.4297,0.11706,3.0794,-0.57153,-0.20053,2.9481,-0.61696,-0.4345,2.8663,-0.60862,-0.61568,2.7365,-0.61185,-0.68779,2.6882,-0.28492,-0.19716,3.011,-0.22804,-0.45274,2.9591,-0.21052,-0.63729,2.8358,-0.20764,-0.70946,2.7876,-0.46293,-0.53184,2.8291,-0.50207,-0.85547,2.7515,-0.52511,-1.1795,2.7488,-0.5135,-1.2319,2.672,-0.3343,-0.53696,2.8619,-0.34921,-0.87316,2.7958,-0.35448,-1.1906,2.7789,-0.33805,-1.2349,2.698
